Currency,Model,MAE,RMSE,R2
USD,Persistence Baseline,0.003184194528875379,0.004433425127219652,0.9715073007690984
USD,Linear Regression,0.0032550892488314234,0.0044969345090680275,0.9706851306828883
USD,SVR,0.029833406530219486,0.037596362125376655,-1.0490213565862931
USD,MLP,0.006177377877626738,0.007312267238269548,0.9224897840462652
USD,LSTM,0.014429953176381134,0.016778872345204872,0.5423358957776336
EUR,Persistence Baseline,0.0039914893617021266,0.005224253702465101,0.9909163589028606
EUR,Linear Regression,0.004094473186715978,0.0053044743571355225,0.9906352506740792
EUR,SVR,0.026857532746212876,0.0404412384781681,0.45567241688032345
EUR,MLP,0.011619633486785429,0.013979035755528411,0.9349621943938268
EUR,LSTM,0.010526840280329146,0.013867020056697878,0.935719759870808
CNY,Persistence Baseline,0.00042978723404255335,0.0006098482545822543,0.9503190683959595
CNY,Linear Regression,0.000434929501449803,0.0006144935713789281,0.949559329810738
CNY,SVR,0.0007011794288713409,0.0008980901801309425,0.8922577461691135
CNY,MLP,0.00047583464336974996,0.0006586367528482924,0.9420520491302028
CNY,LSTM,0.0004761602414850277,0.0006626509801628476,0.9407294737646231
