rank,C,epsilon,gamma,val_MAE,val_RMSE,val_R2,n_support,is_best
1,1.0,0.1,scale,0.003798950381230878,0.0049550272388465474,0.9237557338051472,503,True
2,1.0,0.1,auto,0.003798950381230878,0.0049550272388465474,0.9237557338051472,503,False
3,1.0,0.01,scale,0.003966806423943861,0.005144036481644551,0.9178281288672021,1408,False
4,1.0,0.01,auto,0.003966806423943861,0.005144036481644551,0.9178281288672021,1408,False
5,0.1,0.01,scale,0.003990747312244596,0.005172368944170246,0.9169204592033456,1417,False
6,0.1,0.01,auto,0.003990747312244596,0.005172368944170246,0.9169204592033456,1417,False
7,1.0,0.001,scale,0.0040159693060737465,0.005195307882029106,0.9161819262937025,1527,False
8,1.0,0.001,auto,0.0040159693060737465,0.005195307882029106,0.9161819262937025,1527,False
9,0.1,0.1,scale,0.004050018312174273,0.005224596966815794,0.9152341962443608,601,False
10,0.1,0.1,auto,0.004050018312174273,0.005224596966815794,0.9152341962443608,601,False
11,0.1,0.001,scale,0.004049892745897215,0.005229974338811639,0.9150596174834587,1525,False
12,0.1,0.001,auto,0.004049892745897215,0.005229974338811639,0.9150596174834587,1525,False
13,10.0,0.1,scale,0.004409082492445838,0.0055712324273596864,0.903613180276329,568,False
14,10.0,0.1,auto,0.004409082492445838,0.0055712324273596864,0.903613180276329,568,False
15,100.0,0.1,scale,0.004660170293043098,0.005922519187222181,0.8910748794511317,581,False
16,100.0,0.1,auto,0.004660170293043098,0.005922519187222181,0.8910748794511317,581,False
17,10.0,0.01,scale,0.0050172606373633695,0.00637288989685637,0.8738788485344164,1424,False
18,10.0,0.01,auto,0.0050172606373633695,0.00637288989685637,0.8738788485344164,1424,False
19,10.0,0.001,scale,0.005162874495599493,0.006561995391902586,0.8662829032652074,1518,False
20,10.0,0.001,auto,0.005162874495599493,0.006561995391902586,0.8662829032652074,1518,False
21,100.0,0.01,scale,0.007085293019101437,0.008787307231609651,0.7602124013982039,1443,False
22,100.0,0.01,auto,0.007085293019101437,0.008787307231609651,0.7602124013982039,1443,False
23,100.0,0.001,scale,0.007415615092460716,0.009183624273322094,0.7380952885997477,1527,False
24,100.0,0.001,auto,0.007415615092460716,0.009183624273322094,0.7380952885997477,1527,False
