rank,C,epsilon,gamma,val_MAE,val_RMSE,val_R2,n_support,is_best
1,1.0,0.1,scale,0.00666942144679506,0.008675295750732658,0.7431668823773394,644,True
2,1.0,0.1,auto,0.00666942144679506,0.008675295750732658,0.7431668823773394,644,False
3,10.0,0.1,scale,0.00691001580124577,0.008976405192853667,0.7250287160453883,676,False
4,10.0,0.1,auto,0.00691001580124577,0.008976405192853667,0.7250287160453883,676,False
5,100.0,0.1,scale,0.006935035202947854,0.009167231514909852,0.7132134075296472,716,False
6,100.0,0.1,auto,0.006935035202947854,0.009167231514909852,0.7132134075296472,716,False
7,1.0,0.001,scale,0.007043498951324872,0.009195731333207245,0.7114274657724335,1522,False
8,1.0,0.001,auto,0.007043498951324872,0.009195731333207245,0.7114274657724335,1522,False
9,1.0,0.01,scale,0.007106462851523898,0.009266488979886536,0.7069694689513002,1421,False
10,1.0,0.01,auto,0.007106462851523898,0.009266488979886536,0.7069694689513002,1421,False
11,0.1,0.001,scale,0.008350011229202649,0.010669949231794967,0.6114855724630646,1524,False
12,0.1,0.001,auto,0.008350011229202649,0.010669949231794967,0.6114855724630646,1524,False
13,0.1,0.01,scale,0.00840017338679996,0.010706427697460406,0.6088245220224782,1440,False
14,0.1,0.01,auto,0.00840017338679996,0.010706427697460406,0.6088245220224782,1440,False
15,0.1,0.1,scale,0.008642853273079025,0.011018138488864192,0.5857152962484324,705,False
16,0.1,0.1,auto,0.008642853273079025,0.011018138488864192,0.5857152962484324,705,False
17,10.0,0.01,scale,0.008249564331101491,0.011024864027675803,0.5852093780771389,1431,False
18,10.0,0.01,auto,0.008249564331101491,0.011024864027675803,0.5852093780771389,1431,False
19,10.0,0.001,scale,0.00845751689511785,0.011314604830940484,0.5631209430063062,1525,False
20,10.0,0.001,auto,0.00845751689511785,0.011314604830940484,0.5631209430063062,1525,False
21,100.0,0.01,scale,0.009637185577675554,0.013063211228248082,0.4176523281005722,1435,False
22,100.0,0.01,auto,0.009637185577675554,0.013063211228248082,0.4176523281005722,1435,False
23,100.0,0.001,scale,0.010036526033324984,0.013534825391323167,0.3748449268496781,1525,False
24,100.0,0.001,auto,0.010036526033324984,0.013534825391323167,0.3748449268496781,1525,False
